price,area,bhk,bathroom
5076000.0,967,2,1.0
5890000.0,1122,2,1.0
5890000.0,1122,2,1.0
5701000.0,1086,2,1.0
5701000.0,1086,2,1.0
7263000.0,1089,2,1.0
7425000.0,1114,2,2.0
9256000.0,1420,3,1.0
9694000.0,1491,3,1.0
9347000.0,1435,3,1.0
8528000.0,1303,3,1.0
3300000.0,601,1,1.0
6681999.999999999,1310,3,1.0
6408000.0,1250,3,1.0
5414000.0,1050,2,1.0
6933000.0,1365,3,1.0
3949000.0,800,2,1.0
5345000.0,1035,2,1.0
2972000.0,625,1,1.0
7139000.0,1410,3,1.0
3128000.0,660,1,1.0
5574000.0,1085,2,1.0
6545000.0,1280,2,1.0
2927000.0,615,1,1.0
5459000.0,1060,2,1.0
5254000.0,1015,2,1.0
3061000.0,645,1,1.0
5482000.0,1065,2,1.0
22100000.0,1250,3,1.0
4738000.0,1030,2,1.0
4715000.0,1025,2,1.0
4255000.0,925,2,1.0
4439000.0,965,2,1.0
5060000.0,1100,2,1.0
4278000.0,930,2,1.0
4554000.0,990,2,1.0
5579000.0,1213,3,1.0
4991000.0,1085,2,1.0
4692000.0,1020,2,1.0
4899000.0,1065,2,1.0
3329000.0,1009,2,1.0
3950000.0,1197,3,1.0
3342000.0,1013,2,1.0
7220000.0,1313,2,1.0
4905000.0,892,2,1.0
6477000.0,1178,2,1.0
3229999.9999999995,718,2,1.0
3860000.0,858,2,1.0
